"BARBARA COX COLLEGE, Festac Town ",Privately owned,Amuwo-Odofin,Secondary, info@barbaracoxschool.com," 0703 334 0066, 0806 410 5864, 0803 312 2129","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/8158"",""Read more"")"
"BAREK MEMORIAL HIGH SCHOOL, Iba New Town",Privately owned,Ojo,Secondary, barekmemo@yahoo.com ," 0803 333 0828,  0805 206 7670,   0705 711 1680,  ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5726"",""Read more"")"
"BARIGA JUNIOR GRAMMAR SCHOOL, Bariga",State owned, Shomolu,Secondary, barigajnr@lagosschoolsonline.com, 0802-309-4993,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9940"",""Read more"")"
"BASIL COLLEGE, Ilupeju",Privately owned, Mushin,Secondary, aobbasil@yahoo.com," 0808 055 6448, 0802 979 0115","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/7896"",""Read more"")"
"BAYO TIJANI SECONDARY SCHOOL, Alimosho",Privately owned,Alimosho,Secondary, tijanicoe@yahoo.com," 0703 766 7966,  0803 045 8369","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/7763"",""Read more"")"
"BBIC COLLEGE, Egbeda",Privately owned,Alimosho,Secondary, info@brainbuilderscollege.com," 0803 323 5905;    0803 050 9150,   0802 379 4486","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5734"",""Read more"")"
"BEACON LIGHT COLLEGE, Badagry",Privately owned,Badagry,Secondary, , 08029939804,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/105282"",""Read more"")"
"BEDROCK COLLEGE, Ikate",Privately owned,Surulere,Secondary, bedrock_college@yahoo.com , 0803 347 2034,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4404"",""Read more"")"
"BELLINA COLLEGE, Akoka",Privately owned, Shomolu,Secondary, ," 0802 320 0208. 0805 348 4647, 01-813 0313","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/105037"",""Read more"")"
"BENCOM COLLEGE, Eleshin",Privately owned,Ikorodu,Secondary, bencomsschools@yahoo.com," 0706 041 2580, 0816 651 5089, 0802 398 0062","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/78960"",""Read more"")"
"BESTGIFT COMPREHENSIVE COLLEGE, Ikotun",Privately owned,Alimosho,Secondary, bestgiftcompcollege@gmail.com," 0808 172 2525,   0803 527 7061,   0806 340 9995,","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5399"",""Read more"")"
"BETA COLLEGE, Ojo",Privately owned,Ojo,Secondary, betacollege@yahoo.com, 0802-855 6373     or    0803-318 6398,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3284"",""Read more"")"
"BETHLEHEM GIRLS COLLEGE, Abule Ado",Privately owned,Amuwo-Odofin,Secondary, bethlehemgirlscollegefestac@gmail.com," 0807 542 2193, 0803 322 2081","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10461"",""Read more"")"
"BEULAH COMPREHENSIVE COLLEGE, Morogbo",Privately owned, Badagry ,Secondary, beulahcollege@yahoo.com, 234-803 333 9585,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5556"",""Read more"")"
"BIGTOP COLLEGE, Ikorodu ",Privately owned,Ikorodu,Secondary, bigtopgroup2015@hotmail.com," 0809 829 0253, 0809 841 4570","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/51017"",""Read more"")"
"BIMRON COMPREHENSIVE COLLEGE, Owode-Ibeshe",Privately owned,Ikorodu,Secondary, phillips_posh@yahoo.com," 0803 712 1308,    0802 471 0288","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5058"",""Read more"")"
"BINTA INTERNATIONAL HIGH SCHOOL, Ejigbo",Privately owned,Oshodi-Isolo,Secondary, bintaschool@yahoo.com," 0806 321 9875, or   0802 346 9194","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4303"",""Read more"")"
"BIOLAK COLLEGE, Isashi",Privately owned,,Secondary, , 0806 381 8262,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/105359"",""Read more"")"
"BIRCH FREEMAN JUNIOR HIGH SCHOOL, Mushin ",State owned, Mushin,Secondary, bfjnrhigh@lagosschoolsonline.com, 08033197072,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2964"",""Read more"")"
"BIRCH FREEMAN SENIOR HIGH SCHOOL, Mosalasi",State owned, Mushin,Secondary, bfshs1960@lagosschoolsonline.com, 07028209814,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1288"",""Read more"")"
"BIRREL AVENUE SENIOR HIGH SCHOOL,Yaba",State owned,Lagos-Mainland,Secondary, birrel.a.s.h@lagosschoolsonline.com," 0705 689 3802,  0802 314 8312","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2617"",""Read more"")"
"BISAM COMPREHENSIVE COLLEGE, Alagbado ",Privately owned,Alimosho,Secondary, ," 0813 156 0336,0802 323 2822","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5381"",""Read more"")"
"BISHOP HOWELLS MEMORIAL GRAMMAR SCHOOL,Bariga",Privately owned, Shomolu,Secondary, bhmgs1980@rocketmail.com," 0803 306 4601, 0816 737 0883","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2223"",""Read more"")"
Bizben College,Privately owned,Ifako/Ijaiye,Secondary, , 08033041751,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/105399"",""Read more"")"
"BLESSED ASSURANCE COLLEGE, Ikotun",Privately owned,Alimosho,Secondary, oluwole203@yahoo.com," 0802 305 6884,    0802 360 1526","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3629"",""Read more"")"
"BLUE ROYAL SCHOOL, Ikotun",Privately owned,Alimosho,Secondary, ," 0708 279 5446,  0703 470 2647","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/62748"",""Read more"")"
"BOJADS COLLEGE, Ikorodu",Privately owned,Ikorodu,Secondary," bojadsschools@gmail. com,  bjx-max@yahoo.com"," 0803 697 6968,  0803 685 7228","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/79072"",""Read more"")"
"BOLA IGE MILLENIUM SENIOR SEC. SCHL, Tolu.",State owned,Ajeromi LGA,Secondary, eddv-l-bolaigemillsnr@gmail.com, '08023801912,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2136"",""Read more"")"
"BOLA IMMACULATE COLLEGE, Agbede",Privately owned,Ikorodu,Secondary, Bolaimmaculatecollege@yahoo.com," 0802 724 8070,   0802 898 0140","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/48995"",""Read more"")"
"BOLADE JUNIOR GRAMMAR SCHOOL, Oshodi",State owned,Oshodi-Isolo,Secondary, boladejunior@lagosschoolsonline.com, 0803 334 4363,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1750"",""Read more"")"
"BOLADE SENIOR GRAMMAR SCHOOL, Oshodi",State owned,Oshodi-Isolo,Secondary, boladesenior@lagosschoolsonline.com," 0802 302 3959, 0815 839 1348","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2436"",""Read more"")"
"BOLTHINE COLLEGE, Aboru",Privately owned,Alimosho,Secondary, toriolaolusoji@gmail.com, 08034410340,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/8066"",""Read more"")"
"BOMAK COLLEGE, Ijesha",Privately owned,Surulere,Secondary, ," 0802 756 2757,  0802 445 4154","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/49196"",""Read more"")"
"BOPTON COMPREHENSIVE COLLEGE, Abule-Egba.",Privately owned,Alimosho,Secondary, boptonschools@yahoo.com, 0802 328 8534   or   0802 421 6482,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/11818"",""Read more"")"
"BORIK COMPREHENSIVE SECONDARY SCHOOL, Okerube",Privately owned,Alimosho,Secondary, borik.schools@yahoo.com," 0803 702 4662,  0809 773 1958,   0802 979 9969, ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3571"",""Read more"")"
"BOSEDE IDEHEN INTERNATIONAL ACADEMY, Abule-Egba ",Privately owned,Alimosho,Secondary, bosedeidehen@yahoo.com," 0802 342 5193,  0802 321 5569","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5560"",""Read more"")"
"BOSOL COLLEGE, Aboru",Privately owned,Alimosho,Secondary, bosolgodswillschools@gmail.com," 0702 873 2907,  01 811 6414 ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5502"",""Read more"")"
"BOSWORTH COLLEGE, Ewu Town",Privately owned,Oshodi-Isolo,Secondary, bosworthcollegengYahoo.com," 0803 376 1525, ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5276"",""Read more"")"
BOYS JUNIOR ACADEMY ,State owned,Lagos-Island,Secondary, boysjnracad@lagosschoolsonline.com," 08023189395,07020008390","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/870"",""Read more"")"
"BRAINFIELD COLLEGE, Alagbado",Privately owned,Alimosho,Secondary, brainpowerschools@yahoo.com," 0803 236 7229,  0815 521 5588","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5815"",""Read more"")"
"BRAINPOINT COLLEGE, Ebute-Metta",Privately owned,Lagos-Mainland,Secondary, brainpoint@ovi.com," 0806 021 7706,   0803 575 3341 ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5526"",""Read more"")"
"BRAINSTAR COLLEGE, Okota",Privately owned,Oshodi-Isolo,Secondary, brainstarcollege@hotmail.com," 0802 586 0013,  0803 346 5839","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/7850"",""Read more"")"
"BRIGGS GATE COMPREHENSIVE COLLEGE, Ayobo-Ipaja",Privately owned,Alimosho,Secondary, ," 0813 709 3457,  0803 345 5001","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/8879"",""Read more"")"
"BRIGGS GATE COMPREHENSIVE COLLEGE, Ilupeju",Privately owned, Mushin,Secondary, briggsgatecomprehensivecollilupeju@yahoo.com., 0803-345-5001      or     0802-302-0918.,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3637"",""Read more"")"
"BRIGHT FUTURE COLLEGE, Shomolu",Privately owned,,Secondary, info@brightfutureschool.com," 0813 968 0818,  01-875 7964, ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3813"",""Read more"")"
"BRIGHT VILLE COLLEGE, Oshodi",Privately owned,Oshodi-Isolo,Secondary, villeschools@yahoo.com," 0803 306 2929,    0809 885 8511","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4654"",""Read more"")"
"BRIGHTFIELD  COLLEGE, Iloro-Dopemu",Privately owned,Agege,Secondary, brightfieldinternationalschools@yahoo.com," 0705 802 3468,   0814 844 9969","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/49491"",""Read more"")"
"BRILLIANT ACADEMY, Iloro-Mangoro",Privately owned,Agege,Secondary, ," 0813 931 9320,    0803 331 2103","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4808"",""Read more"")"
"BRILLIANT CHILD COLLEGE, Akoka ",Privately owned, Shomolu,Secondary, brilliantchildschools.com," 0704 126 7175,     0802 202 0908","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5703"",""Read more"")"
"BRITISH INTERNATIONAL SCHOOL, Victoria Island",Privately owned,Eti-Osa,Secondary, registrar@bisnigeria.org," 01-773 7548,  01-774 8066","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10676"",""Read more"")"
"BROADWAY JUNIOR SCHOOL, Kirikiri",Privately owned,Amuwo-Odofin,Secondary, broadway.juniorschool@yahoo.com," 0803-566-2159,  0703 611 5996","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3279"",""Read more"")"
BROWNSVILLE College,Privately owned,,Secondary, , 09028922594,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/105456"",""Read more"")"
"BUILDERS SECONDARY SCHOOL, Obawole",Privately owned,Ifako/Ijaiye,Secondary, builderscollege@gmail.com, 0706 313 5226,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/61079"",""Read more"")"
"BURKINSHEEN INTERNATION SECONDARY SCHOOL, Ijaiye Ojokoro  ",Privately owned,Ifako/Ijaiye,Secondary, lawrenceofforyahoo.com," 0802 320 1298,","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5176"",""Read more"")"
"C.A.C COLLEGE, Itire",Privately owned, Mushin,Secondary, caccollegeitire@yahoo.com," 0805 507 3118, 0805 707 1111, 0704 630 3823","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10680"",""Read more"")"
"C.M.S GIRLS SENIOR GRAMMAR SCHOOL 1, Bariga",State owned, Shomolu,Secondary, cms_gsgs2012@lagosschoolsonline.com.com, 0803-301-3062,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2359"",""Read more"")"
"C.M.S GIRLS SNR GRAM SCHL II, Bariga",State owned, Shomolu,Secondary, , 0802-328-7833,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2369"",""Read more"")"
"C.M.S. GRAMMAR SCHOOL, Bariga",Privately owned, Shomolu,Secondary, cmsgramslagos@yahoo.com," 0802-321-8891,    01-794 3975,    01-818 5632","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3626"",""Read more"")"
Cachet Bearers College,Privately owned,Alimosho,Secondary, , 08085997770,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/105458"",""Read more"")"
CACHET BEARERS MONTESSORI SCHOOLS & COLLEGE,Privately owned,Alimosho,Secondary, cachetbearers@yahoo.com, 08062122614,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1820"",""Read more"")"
"CALEB INTERNATIONAL COLLEGE, Lekki",Privately owned,Eti-Osa,Secondary, calebcollege@yahoo.com," 0802 223 4209, 0810 257 8231, 0703 381 2055","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5501"",""Read more"")"
"CALEB INTERNATIONAL COLLEGE, Magodo",Privately owned,Kosofe,Secondary, ," 0703 381 2055, 01 774 6562","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3455"",""Read more"")"
"CAMBRIDGE COLLEGE, Ikeja",Privately owned, Ikeja,Secondary, cambridgecollege@yahoo.com," 0703 420 1955, 0803 552 7255,  0705 555 5801,  01 850 8224","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/7984"",""Read more"")"
"CANAAN COLLEGE, Jankara ",Privately owned,Ifako/Ijaiye,Secondary, ," 0803 319 2486,0802 885 0627, ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5287"",""Read more"")"
"CANON JAMES PEARSE ANG. COLLEGE, Iwaya",Privately owned,Lagos-Mainland,Secondary, cipac.iwaya@gmail.com," 0805 507 7858,   0703 390 5552","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/6948"",""Read more"")"
"CANTERBURY INTER. HIGH SCHOOL, Lekki",Privately owned,Eti-Osa,Secondary," solaolaitano@yahoo.com, canterburyhighschool@yahoo.com"," 0803 315 8667,     0812 026 0606","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5646"",""Read more"")"
"CARDOSO CATHOLIC SECONDARY SCHOOL, Ajegunle",Privately owned,Ajeromi LGA,Secondary, ccss@cccf.org.ng/shcj," 0803 939 5405, 0813 063 4796, 0806 615 8140,0803 939 5405","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3198"",""Read more"")"
"CARDOSO JUNIOR HIGH SCHOOL,  Badia-Ijora",State owned,Ajeromi LGA,Secondary, eddvicjhs@lagosschoolsonline.com, 0802 321 3314,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2133"",""Read more"")"
"CARDOSO SENIOR HIGH SCHOOL, Ijora-Badia",State owned,Ajeromi LGA,Secondary, eddv.csns@lagosschoolsonline.com, 08033011924,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2137"",""Read more"")"
"CAREER COMPREHENSIVE SECONDARY SCHOOL, Okokomaiko",Privately owned,Ojo,Secondary, mailmebeauty@yahoo.com," 0803 406 7608, 0813 668 4748","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10538"",""Read more"")"
"CARITAS COLLEGE, Ojo",Privately owned,Ojo,Secondary, ifnot4jesus@yahoo.com," 0806 225 4424, 0802 124 7672, 0805 633 4116","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5442"",""Read more"")"
"CARO FAVOURED COLLEGE, Awodi-Ora",Privately owned,Ajeromi LGA,Secondary, caro_schools@yahoo.com," 0802 302 6868   or  0805 234 3546,   018103730","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3401"",""Read more"")"
"CARRINTON COLLEGE, Ajao Estate",Privately owned,Oshodi-Isolo,Secondary, archwood.school@yahoo.com," 0803 305 5394, 0811 716 5698","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/59224"",""Read more"")"
"CAYLEY COLLEGE, Agidingbi",Privately owned, Ikeja,Secondary, info@cayleycollege.com, 0803 324 8143,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5456"",""Read more"")"
"CEDAR COLLEGE, Baruwa - Ipaja",Privately owned,Alimosho,Secondary, cedarcollege2012@yahoo.com," 0808 539 7321, 0803 719 1040,  0803 329 3152","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5031"",""Read more"")"
"CEDEC INTERNATIONAL SECONDARY SCHOOL, Olodi Apapa ",Privately owned,Ajeromi LGA,Secondary, www.cedecgroupofschools.com," 0803 306 3540,  0805 632 7998,  0704 026 6444, ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5037"",""Read more"")"
"CELEBRITY COLLEGE, Ojo",Privately owned,Ojo,Secondary, ," 0806 657 1798,  0813 680 8627,  0702 770 0561","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/64467"",""Read more"")"
"CENTRAL JUNIOR  HIGH SCHOOL, Okota",State owned,Oshodi-Isolo,Secondary, centraljnr@lagosschoolsonline.com, 08023293184,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1322"",""Read more"")"
"CENTRAL SENIOR HIGH SCHOOL, Okota",State owned,Oshodi-Isolo,Secondary, centralsnr@lagosschoolsonline.com, 0803 241 1283,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1821"",""Read more"")"
"CHACY COMPREHENSIVE SECONDARY SCHOOL, Mile 12 ",Privately owned,Kosofe,Secondary, chacyschool@yahoo.com," 0802 312 2678,   0803 517 0462, 0807 902 2640","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5619"",""Read more"")"
"CHALKHEEL COLLEGE, Fagba Iju",Privately owned,Ifako/Ijaiye,Secondary, chalkheed@yahoo.com," 0805 985 8298,  0803 244 4072","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10855"",""Read more"")"
"CHARISMARTIN INTERNATIONAL SCHOOLS, Gbaga",Privately owned,Ikorodu,Secondary, info@charismartinschools.com," 0704 543 1504,  0813 867 2065","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10499"",""Read more"")"
"CHERUBIM & SERAPHIM COLLEGE, Surulere",Privately owned,Surulere,Secondary, cscollege001@gmail.com, 0803 300 9503,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/77382"",""Read more"")"
"CHERUBIN & SERAPHIN COLLEGE, Surulere",Privately owned,Surulere,Secondary, cscollege001@gmail.com, 0803 300 9503.,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/77413"",""Read more"")"
"CHI-BEN COLLEGE, Iba New Site",Privately owned,Ojo,Secondary, chibebschool2006@yahoo.com, 0803 713 8511,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5508"",""Read more"")"
"CHRIS COLLEGE, Ketu",Privately owned,Kosofe,Secondary, jonadab1740@yahoo.com," 0803 598 5098,  0802 311 4618,  0806 371 9944,  0805 431 8513","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3495"",""Read more"")"
"CHRISLAND COLLEGE,  Idimu ",Privately owned,Alimosho,Secondary," info@chrislandschools.com, ccilagos@yahoo.com"," 0802 309 6656,   01-773 0642","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3073"",""Read more"")"
"CHRISLAND HIGH SCHOOL, Ajah",Privately owned,Eti-Osa,Secondary, info@chrislandschools.com," 0703 533 8354,    01 461 8939,0816 137 2172","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5565"",""Read more"")"
"CHRISLAND HIGH SCHOOL, Ikeja",Privately owned, Ikeja,Secondary," info@chrislandschools.com, erik.vandermerwe@chrislandschools.sch.ng 	    	 "," 0819 177 2100,   0813 436 6988,     01 737 9562","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5580"",""Read more"")"
"CHRIST THE KING INTERNATIONAL SCHOOL, Gbagada ",Privately owned,Kosofe,Secondary, principal@ctkis.org," 0802 666 1024,  0803 305 6391,   0806 234 5225,  ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5370"",""Read more"")"
"CHRIST THE REDEMERS SECONDARY SCHOOL, Gbagada Phase II ",Privately owned, Shomolu,Secondary, crss_gbagada@yahoo.com," 0802 317 8172, 0704 065 0448","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2974"",""Read more"")"
"CHRIST THE ULTIMATE INTERNATIONAL COLL. ,Okota",Privately owned,Oshodi-Isolo,Secondary, christtheultimateschools@yahoo.com," 0802 3355749,     0803 429 8374","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3113"",""Read more"")"
"CHRISTHILL COLLEGE, Amuwo-Odofin",Privately owned,Amuwo-Odofin,Secondary, dechristhill@yahoo.com," 0802 391 5327,   0803 303 8747","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5083"",""Read more"")"
"CHRISTOLINE SECONDARY SCHOOL, Odongunyan",Privately owned,Ikorodu,Secondary, ," 0803 572 1838,  0803 962 4891","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/74483"",""Read more"")"
"CIFMAN COLLEGE, Yaba",Privately owned,Lagos-Mainland,Secondary, cifmancollegeng@yahoo.com," 0803 322 3009, 0803 490 6360","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5226"",""Read more"")"
"CINAC ROYAL COLLEGE, Iba",Privately owned,Ojo,Secondary, polacinac@gmail.com," 0803 931 9188, 0701 075 5701, 0803 302 2339","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10928"",""Read more"")"
"CITIZENS COMPREHENSIVE COLLEGE, Temu",Privately owned,Epe,Secondary, citizenscollege@yahoo.com," 0803 719 7449,  0819 179 1850,   0819 179 1825","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/6324"",""Read more"")"
"CITY PRIDE SECONDARY SCHOOL, Festac Link",Privately owned,Amuwo-Odofin,Secondary, info@cityprideschool.org," 0809 936 3994, 0810 955 9329","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/74425"",""Read more"")"
"CLAPAT COMPREHENSIVE COLLEGE, Ajangbadi",Privately owned,Ojo,Secondary, georgeclapat@yahoo.com," 0803 386 8901,  0809 932 2481,  0813 706 2766","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5660"",""Read more"")"
"CLASSIC COMPREHENSIVE COLLEGE, Ejigbo",Privately owned,Oshodi-Isolo,Secondary, ," 0803 379 6816,    0703 032 6785","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5527"",""Read more"")"
"CLEGG GIRLS JUNIOR HIGH SCHOOL, Surulere",State owned,Surulere,Secondary, clegggirljnr@lagosschoolsonline.com," 0803 386 2062,  0705 689 3912","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/978"",""Read more"")"
"CLEGG GIRLS SENIOR HIGH SCHOOL, Surulere",State owned,Surulere,Secondary, clegggirlsnr@lagosschoolsonline.com," 0803 306 7871, 0705 68 93856","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1357"",""Read more"")"
"CLEMENTINE HIGH SCHOOL, Alagbado",Privately owned,Alimosho,Secondary, clementineschools@yahoo.com," 0805 922 6010,    0806 341 2134","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4624"",""Read more"")"
"CLEMMY HIGH SCHOOL, Agodo-Egbe",Privately owned,Alimosho,Secondary, adecle@yahoo.com, 0802 223 6527   0806237 5430,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3239"",""Read more"")"
"COKER JUNIOR SECONDARY SCHOOL, Surulere",State owned,Surulere,Secondary, cokerjnrsec@lagosschoolsonline.com," 0802 315 0365,  0705 689 3914","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/975"",""Read more"")"
"COKER SENIOR SECONDARY SCHOOL, Orile-Iganmu",State owned,Surulere,Secondary, cokersnrsec@lagosschoolsonline.com," 0802 314 4994,  0705 689 3858","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1358"",""Read more"")"
COMMUNITY HIGH SCHOOL,State owned,Surulere,Secondary, , 08033137091,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1360"",""Read more"")"
"COMMUNITY HIGH SCHOOL, WASIMI",State owned, Ikeja,Secondary, comsnrwasimi@lagosschoolsonline.com, 08023124258,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1235"",""Read more"")"
COMMUNITY JUNIOR GRAMMAR SCHOOL,State owned,Ikorodu,Secondary, comjnrgrasch@lagosschoolsonline.com, 0805-476-2095,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12291"",""Read more"")"
"COMMUNITY JUNIOR GRAMMAR SCHOOL 1, Ipaja",State owned,Alimosho,Secondary, cjgs@gmail.com, 0802 330 9931,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9597"",""Read more"")"
COMMUNITY JUNIOR GRAMMAR SCHOOL Ipaja,State owned,Alimosho,Secondary, cjgsipaja@lagosschoolsonline.com, 0802 330 9931 ,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1782"",""Read more"")"
"COMMUNITY JUNIOR GRAMMAR SCHOOL, Adelabu",State owned,Surulere,Secondary, commjnrgramm@lagosschoolsonline.com," '08083832727, 07056893916","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/977"",""Read more"")"
"COMMUNITY JUNIOR HGH SCHOOL, Orimedu",State owned, Ibeju-Lekki,Secondary, , 0704 167 4677,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2099"",""Read more"")"
COMMUNITY JUNIOR HIGH SCHOOL,State owned,Eti-Osa,Secondary, , 08085968072,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/589"",""Read more"")"
COMMUNITY JUNIOR HIGH SCHOOL,State owned, Ikeja,Secondary, commjnrwasimi@lagosschoolsonline.com,  0802 306 8792,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/919"",""Read more"")"
